日期,最高气温,最低气温,天气
2014-01-01,14℃,4℃,晴
2014-01-02,15℃,5℃,晴
2014-01-03,16℃,8℃,多云
2014-01-04,10℃,6℃,多云
2014-01-05,11℃,3℃,晴
2014-01-06,11℃,5℃,多云
2014-01-07,14℃,8℃,多云转小雨
2014-01-08,9℃,6℃,中雨转小雨
2014-01-09,6℃,2℃,小雨转多云
2014-01-10,7℃,0℃,多云转晴
2014-02-01,23℃,12℃,晴
2014-02-02,20℃,12℃,多云
2014-02-03,20℃,12℃,多云
2014-02-04,10℃,4℃,小雨转多云
2014-02-05,7℃,3℃,小雨
2014-02-06,9℃,6℃,中雨转小雨
2014-02-07,7℃,5℃,中雨
2014-02-08,7℃,3℃,小雨转多云
2014-02-09,4℃,2℃,阴转雨夹雪
2014-02-10,3℃,0℃,阴
2014-03-01,9℃,6℃,中雨转小雨
2014-03-02,11℃,4℃,小雨转多云
2014-03-03,12℃,7℃,阴转多云
2014-03-04,11℃,9℃,小雨
2014-03-05,11℃,6℃,多云
2014-03-06,8℃,5℃,阴转小雨
2014-03-07,10℃,4℃,多云转阴
2014-03-08,8℃,6℃,小雨
2014-03-09,13℃,3℃,多云转晴
2014-03-10,13℃,4℃,晴
2014-04-01,18℃,12℃,阴
2014-04-02,18℃,12℃,多云转阴
2014-04-03,18℃,13℃,小雨
2014-04-04,18℃,9℃,多云转晴
2014-04-05,19℃,10℃,晴
2014-04-06,16℃,8℃,晴转多云
2014-04-07,19℃,12℃,小雨转多云
2014-04-08,21℃,12℃,阴转多云
2014-04-09,23℃,14℃,多云转晴
2014-04-10,24℃,13℃,多云
2014-05-01,27℃,16℃,晴转多云
2014-05-02,29℃,18℃,晴转多云
2014-05-03,22℃,17℃,阴转多云
2014-05-04,20℃,15℃,阴转小雨
2014-05-05,21℃,13℃,阴转多云
2014-05-06,23℃,13℃,晴转多云
2014-05-07,26℃,15℃,晴转多云
2014-05-08,27℃,17℃,晴转多云
2014-05-09,20℃,16℃,晴转阴
2014-05-10,22℃,17℃,小雨
2014-06-01,24℃,22℃,小雨转大雨
2014-06-02,26℃,21℃,中雨转阴
2014-06-03,25℃,20℃,阴
2014-06-04,26℃,20℃,阴
2014-06-05,27℃,20℃,多云
2014-06-06,29℃,21℃,多云
2014-06-07,30℃,21℃,多云
2014-06-08,29℃,22℃,多云
2014-06-09,28℃,21℃,多云
2014-06-10,28℃,21℃,阴转多云
2014-07-01,27℃,22℃,中雨
2014-07-02,29℃,22℃,小雨转多云
2014-07-03,27℃,23℃,多云转小雨
2014-07-04,26℃,23℃,小雨转大雨
2014-07-05,29℃,23℃,大雨转阴
2014-07-06,30℃,23℃,阴转多云
2014-07-07,30℃,24℃,多云
2014-07-08,30℃,24℃,小雨
2014-07-09,34℃,25℃,多云
2014-07-10,34℃,26℃,多云转雷阵雨
2014-08-01,30℃,26℃,中雨转大雨
2014-08-02,30℃,26℃,中雨
2014-08-03,34℃,26℃,多云
2014-08-04,35℃,27℃,多云
2014-08-05,36℃,28℃,晴
2014-08-06,35℃,28℃,晴转多云
2014-08-07,33℃,27℃,多云转阴
2014-08-08,32℃,26℃,多云转阵雨
2014-08-09,30℃,26℃,阵雨
2014-08-10,28℃,25℃,阵雨
2014-09-01,28℃,24℃,中雨转小雨
2014-09-02,32℃,24℃,阴转阵雨
2014-09-03,28℃,24℃,中雨转小雨
2014-09-04,28℃,21℃,多云
2014-09-05,29℃,23℃,多云
2014-09-06,30℃,24℃,阵雨转多云
2014-09-07,30℃,23℃,多云
2014-09-08,29℃,23℃,多云
2014-09-09,28℃,23℃,多云转阴
2014-09-10,28℃,24℃,小雨
2014-10-01,25℃,19℃,多云
2014-10-02,26℃,18℃,多云
2014-10-03,25℃,20℃,多云
2014-10-04,26℃,18℃,多云转晴
2014-10-05,27℃,19℃,晴
2014-10-06,24℃,18℃,晴转多云
2014-10-07,23℃,17℃,多云
2014-10-08,25℃,18℃,多云
2014-10-09,25℃,18℃,多云
2014-10-10,26℃,20℃,多云
2014-11-01,22℃,19℃,阴转小雨
2014-11-02,19℃,15℃,小雨转阴
2014-11-03,17℃,11℃,多云转晴
2014-11-04,18℃,11℃,晴
2014-11-05,21℃,13℃,晴转多云
2014-11-06,21℃,16℃,阴转多云
2014-11-07,18℃,14℃,多云
2014-11-08,16℃,13℃,小雨
2014-11-09,16℃,13℃,小雨
2014-11-10,16℃,13℃,小雨
2014-12-01,12℃,4℃,小雨转多云
2014-12-02,9℃,2℃,晴
2014-12-03,8℃,2℃,多云转小雨
2014-12-04,6℃,2℃,小雨转晴
2014-12-05,7℃,1℃,晴
2014-12-06,10℃,1℃,晴
2014-12-07,12℃,5℃,多云转小雨
2014-12-08,10℃,5℃,晴转多云
2014-12-09,12℃,7℃,多云
2014-12-10,13℃,9℃,阴转小雨
